convenience,Uncle Don's,Jones Avenue,
convenience,Wang's Variety,Pape Avenue,
sports,The Running Room,Yonge Street,
bakery,Petite THUET Artisan Bakery & Foods,King Street West,
video_games,Play N Trade Video Games,Dundas Street West,
convenience,International News,Dundas Street West,
travel_agency,Kompas Express Tour Operator,Bloor Street West,
convenience,Christie Convenience,Christie Street,
hairdresser,Big City Salon,Christie Street,
frame,Alternative Arts,Bloor Street West,
bed,Sleep Country,Bloor Street West,
graphics,Frames N' Graphics Retail & Wholesale,Bloor Street West,
kitchen,Knifewear,Bloor Street West,
optician,Glass Monocle,Bloor Street West,
vacant,Unicorn Caffee,Bloor Street West,
mobile_phone,Rogers,Yonge Street,
money_lender,Cash Money,Yonge Street,
shoes,Shoe Time,Yonge Street,
erotic,Cupid Boutique,Yonge Street,
alterations,Margo Tai??? Alterations,Yonge Street,
beauty,Nail's Attraction,Yonge Street,
bicycle,Rider's Cycle,Harbord Street,
laundry,376 Coin Laundry,Harbord Street,
hairdresser,Glassbox Barbershop,Harbord Street,
art,Rebecca Gallery,Grace Street,
laundry,Harbord Coin Wash,Harbord Street,
convenience,OJJJ's Variety,Harbord Street,
dry_cleaning,Simcoe Cleaner,Lower Simcoe Street,
signs,Sign-O-Rama,Bay Street,
supermarket,Pusateri's,Yorkville Avenue,
supermarket,Sobeys Urban Fresh,Balliol Street,
variety_store,Dollarama,Yonge Street,
bakery,Circles & Squares Bakery,Yonge Street,
convenience,October Convenience,Bloor Street West,
laundry,Bloor-Keele Coin Laundry,Bloor Street West,
fabric,Ram Upholstery,Jones Avenue,
herbalist,Noah's,Bloor Street West,
convenience,Rabba,Wellesley Street West,
bicycle,Wheels of Bloor,Bloor Street West,
dry_cleaning,Royal Dry Cleaners,Davenport Road,
cannabis,Spirit Leaf,Adelaide Street East,
supermarket,Longo's,Bloor Street East,
travel_agency,New Wave Travel,Bay Street,
supermarket,FreshCo,Parliament Street,
clothes,Banana Republic,Bloor Street West,
beauty,Adorn Studio,Danforth Avenue,
medical_supply,Davisville Home Healthcare,Yonge Street,
dry_cleaning,Westown Cleaners,Warden Avenue,
convenience,Warden Mart Dollar & Smoke Shop,Warden Avenue,
clothes,Old Navy,Borough Drive,
clothes,Anthropologie,Clock Tower Road,
greengrocer,Fresh Buy Market,Yonge Street,
money_lender,easyfinancial,Yonge Street,
music,Ring Music,Harbord Street,
books,Caversham Booksellers,Harbord Street,
hairdresser,Hutoshi & Cy's Hair & Skin Studio for Men & Women,Robert Street,
books,Bakka-Phoenix Books,Harbord Street,
dry_cleaning,Towne Dry Cleaners,St. Clair Avenue East,
furniture,Hauser Contemporary Furniture,Merton Street,
convenience,Hasty Market,Redpath Avenue,
supermarket,Whole Foods Market,Avenue Road,
chocolate,adam & eve chocolatier,Maitland Street,
vacant,Friends Fine Foods & Groceries,Yonge Street,
hairdresser,Hair Dynasty,Yonge Street,
alcohol,LCBO,Spadina Avenue,
copyshop,Kwik Kopy Design and Print Centre,Adelaide Street West,
clothes,New York Fur,Adelaide Street West,
convenience,Joy Convenience,Bay Street,
vacant,Saffron Tree Fine Indian Cuisine,Gerrard Street West,
greengrocer,Fruits Basket,Yonge Street,
car_repair,Canadian Tire Auto Service,Yonge Street,
supermarket,Valu-mart,Bayview Avenue,
beauty,Top Queen Nails,Lawrence Avenue East,
clothes,Malabar Theatrical Costumes,McCaul Street,
books,Ben McNally,Bay Street,
clothes,RW&CO.,Yonge Street,
music,Steve's Music Store,Queen Street West,
dry_cleaning,Metro Cleaners,Lawrence Avenue East,
pet,Queen West Animal Hospital,Queen Street West,
tattoo,See Ya Studio,Yonge Street,
toys,Little Peeps,Queen Street East,
hairdresser,Joseph's Barber & Hairstyling,Queen Street East,
dry_cleaning,Platis Cleaners,Queen Street East,
coffee,Omnia Coffee Roasters,Queen Street East,
clothes,509 Dancewear,Parliament Street,
books,BMV,Edward Street,
vacant,South Indian Dosa Mahal Restaurant,Bloor Street West,
supermarket,EconomyFruit,Bloor Street West,
supermarket,Yogas Meat,Kennedy Road,
bakery,Poondi Bread,Kennedy Road,
laundry,KenMark Coin Laundry,Kennedy Road,
copyshop,Kwik Kopy,Jarvis Street,
beauty,New You,Yonge Street,
convenience,Corner Kitchen,Wellesley Street East,
vacuum_cleaner,Vacuum King,Mount Pleasant Road,
convenience,Better Bulk,Danforth Avenue,
tattoo,Southside Ink,Lake Shore Boulevard West,
bicycle,Cycle Solutions,Kingston Road,
bakery,Celena's Bakery,Danforth Avenue,
music,Remenyi House of Music,Bloor Street West,
investments,Edward Jones,Warden Avenue,
car_repair,Mr. Lube,Sheppard Avenue East,
greengrocer,Plank Road Market,Danforth Avenue,
condos,Five Condominiums,St. Joseph Street,
convenience,Circle K,Scarlett Road,
supermarket,Longo's,King Street West,
convenience,Queen Mini Mart,Queen Street West,
alcohol,LCBO,Hanna Avenue,
travel_agency,Kemptville Travel,Eglinton Avenue West,
bag,Bentley,Yonge Street,
books,Indigo,Bloor Street West,
video,Bay Street Video,Bay Street,
convenience,Food Plus Market,Yonge Street,
cannabis,Soul Rebel,Eglinton Avenue East,
department_store,Giant Tiger,Kennedy Road,
mobile_phone,Telus,Sheppard Avenue East,
car,Ferrari Maserati of Toronto,Avenue Road,
furniture,Structube,Avenue Road,
furniture,Potato Skins,Yonge Street,
massage,The Massage Therapy Boutique,Penrose Road,
florist,Rosedale Kennedy Flowers,Mount Pleasant Road,
health_food,Green Natural Health and Nutrition Centre,Mount Pleasant Road,
vacant,Marlin Travel,Bay Street,
optician,Cristall Opticians,Bay Street,
vacant,Shah’s Halal Food,Duncan Street,
furniture,ergoCentric,King Street East,
copyshop,First Copy,College Street,
copyshop,Reflex Copy & Digital Printing,Bay Street,
sports,Skiis and Biikes,Yonge Street,
convenience,MAA Variety,Yonge Street,
